,Year,NAME,House_Price,Unit_Price,Flat_rent,House_rent,House_rate,Unit_rate
101,2009,BRIGHTON EAST,1071000.0,575500.0,62.0,397.0,51.87948072079054,178.50496277915633
102,2009,BROADFORD,223000.0,,,,,
103,2009,BROADMEADOWS,320000.0,292500.0,175.0,260.0,23.668639053254438,32.14285714285714
104,2009,BROOKFIELD,307500.0,245000.0,,,,
105,2009,BROOKLYN,411500.0,337500.0,,,,
106,2009,BROWN HILL,228000.0,219000.0,,,,
107,2009,BRUNSWICK,610000.0,438000.0,228.0,375.0,31.282051282051285,36.94331983805668
108,2009,BRUNSWICK EAST,635000.0,484000.0,242.0,384.0,31.80088141025641,38.46153846153846
109,2009,BRUNSWICK WEST,601000.0,363500.0,223.0,344.0,33.5979427549195,31.347016212487063
110,2009,BRUTHEN,187500.0,,,,,
111,2009,BULLEEN,640000.0,480000.0,234.0,315.0,39.072039072039075,39.447731755424066
112,2009,BUNDALONG,430000.0,,,,,
113,2009,BUNDOORA,413500.0,365000.0,202.0,293.0,27.13966920451562,34.748667174409746
114,2009,BUNINYONG,270000.0,,126.0,198.0,26.223776223776227,
115,2009,BUNYIP,282500.0,254500.0,,,,
116,2009,BURNLEY,731000.0,,287.0,442.0,31.80473372781065,
117,2009,BURNSIDE,345000.0,,,,,
118,2009,BURNSIDE HEIGHTS,350000.0,,,,,
119,2009,BURWOOD,675000.0,473000.0,220.0,326.0,39.818310523832,41.34615384615385
120,2009,BURWOOD EAST,570000.0,439000.0,107.0,297.0,36.90753690753691,78.9000718907261
121,2009,CAIRNLEA,390000.0,338000.0,,,,
122,2009,CALIFORNIA GULLY,209000.0,152500.0,,,,
123,2009,CAMBERWELL,1155000.0,535000.0,245.0,388.0,57.246233148295005,41.99372056514914
124,2009,CAMPBELLFIELD,320000.0,144500.0,,,,
125,2009,CAMPBELLS CREEK,247500.0,,,,,
126,2009,CAMPERDOWN,177500.0,,,,,
127,2009,CANADIAN,251000.0,210000.0,,,,
128,2009,CANN RIVER,104000.0,,,,,
129,2009,CANTERBURY,1680000.0,550000.0,266.0,376.0,85.92471358428806,39.76286871023713
130,2009,CAPE PATERSON,312000.0,,,,,
131,2009,CAPE SCHANCK,520000.0,,,,,
132,2009,CAPEL SOUND,307500.0,290000.0,,,,
133,2009,CARISBROOK,151000.0,,,,,
134,2009,CARLTON,800000.0,242000.0,297.0,388.0,39.65107057890563,15.669515669515668
135,2009,CARLTON NORTH,785000.0,435000.0,260.0,416.0,36.288831360946745,32.17455621301775
136,2009,CARNEGIE,787500.0,430000.0,226.0,352.0,43.02338286713287,36.58951667801225
137,2009,CAROLINE SPRINGS,365000.0,335000.0,,,,
138,2009,CARRUM,435000.0,367000.0,217.0,281.0,29.770052012044896,32.523927685218005
139,2009,CARRUM DOWNS,298000.0,270000.0,175.0,250.0,22.923076923076923,29.67032967032967
140,2009,CASTERTON,101500.0,,,,,
141,2009,CASTLEMAINE,255000.0,228000.0,0.0,200.0,24.51923076923077,inf
142,2009,CAULFIELD,945000.0,545000.0,227.0,398.0,45.660997294163124,46.17078956286005
143,2009,CAULFIELD EAST,855000.0,335500.0,,,,
144,2009,CAULFIELD NORTH,1200000.0,505000.0,,,,
145,2009,CAULFIELD SOUTH,850000.0,494000.0,,,,
146,2009,CHADSTONE,570000.0,500000.0,297.0,320.0,34.25480769230769,32.375032375032376
147,2009,CHARLEMONT,0.0,,,,,
148,2009,CHARLTON,89000.0,,,,,
149,2009,CHELSEA,483000.0,330000.0,217.0,281.0,33.0550232685464,29.24494859978731
150,2009,CHELSEA HEIGHTS,405500.0,325000.0,,,,
151,2009,CHELTENHAM,595500.0,410000.0,245.0,347.0,33.00266016404345,32.182103610675036
152,2009,CHELTENHAM EAST,533000.0,350000.0,,,,
153,2009,CHELTENHAM NORTH,550000.0,390000.0,,,,
154,2009,CHEWTON,220000.0,,,,,
155,2009,CHILTERN,227000.0,,,,,
156,2009,CHIRNSIDE PARK,406000.0,326000.0,,,,
157,2009,CHUM CREEK,290000.0,,,,,
158,2009,CHURCHILL,150000.0,,,,,
159,2009,CLARINDA,476000.0,370000.0,,,,
160,2009,CLAYTON,560000.0,400000.0,248.0,300.0,35.8974358974359,31.017369727047146
161,2009,CLAYTON NORTH,580500.0,480000.0,,,,
162,2009,CLAYTON SOUTH,463000.0,351000.0,,,,
163,2009,CLIFTON HILL,751000.0,488000.0,248.0,425.0,33.98190045248869,37.84119106699752
164,2009,CLIFTON SPRINGS,278500.0,,,,,
165,2009,CLUNES,164000.0,,,,,
166,2009,CLYDE,340000.0,,,,,
167,2009,CLYDE NORTH,0.0,0.0,,,,
168,2009,COBBLEBANK,0.0,,,,,
169,2009,COBDEN,180000.0,,,,,
170,2009,COBRAM,224000.0,171500.0,,,,
171,2009,COBURG,535500.0,390000.0,247.0,325.0,31.686390532544376,30.36437246963563
172,2009,COBURG EAST,469000.0,392500.0,,,,
173,2009,COBURG NORTH,455000.0,336500.0,180.0,300.0,29.166666666666668,35.9508547008547
174,2009,COCKATOO,290000.0,,,,,
175,2009,COHUNA,161500.0,,,,,
176,2009,COLAC,205000.0,212500.0,,,,
177,2009,COLDSTREAM,338500.0,,,,,
178,2009,COLERAINE,120000.0,,,,,
179,2009,COLLINGWOOD,610000.0,460000.0,287.0,412.0,28.47274085138163,30.822835700884482
180,2009,CONNEWARRE,690000.0,,,,,
181,2009,COOLAROO,265000.0,,,,,
182,2009,COONANS HILL,566000.0,,,,,
183,2009,COONGULLA,140000.0,,,,,
184,2009,CORINELLA,277000.0,,,,,
185,2009,CORIO,196500.0,210500.0,139.0,182.0,20.76289095519865,29.12285556170448
186,2009,CORONET BAY,205000.0,,,,,
187,2009,CORRYONG,142500.0,,,,,
188,2009,COWES,355000.0,280000.0,,,,
189,2009,COWES WEST,277500.0,282500.0,,,,
190,2009,CRAIGIEBURN,327000.0,275000.0,0.0,285.0,22.064777327935225,inf
191,2009,CRANBOURNE,280000.0,226000.0,55.0,223.0,24.14625733011383,79.02097902097901
192,2009,CRANBOURNE EAST,328000.0,299000.0,,,,
193,2009,CRANBOURNE NORTH,320000.0,270000.0,,,,
194,2009,CRANBOURNE WEST,282000.0,237500.0,,,,
195,2009,CREMORNE,682000.0,539000.0,,,,
196,2009,CRESWICK,196500.0,173500.0,,,,
197,2009,CRIB POINT,279000.0,269000.0,,,,
198,2009,CROYDON,396500.0,328000.0,188.0,263.0,28.992395437262356,33.55155482815057
199,2009,CROYDON HILLS,475500.0,,,,,
200,2009,CROYDON NORTH,471000.0,350000.0,,,,
201,2009,CROYDON SOUTH,390500.0,375000.0,,,,
202,2009,CURLEWIS,0.0,,,,,
203,2009,DALLAS,290000.0,283500.0,,,,
204,2009,DALYSTON,200000.0,,,,,
205,2009,DANDENONG,346000.0,271000.0,187.0,247.0,26.938648396138277,27.869189633895516
206,2009,DANDENONG NORTH,340000.0,275000.0,180.0,241.0,27.130545802744976,29.38034188034188
207,2009,DARLEY,256500.0,200000.0,,,,
208,2009,DARTMOOR,148000.0,,,,,
209,2009,DAYLESFORD,290000.0,267500.0,,,,
210,2009,DEANSIDE,0.0,,,,,
211,2009,DEEPDENE,1790500.0,663000.0,,,,
212,2009,DEER PARK,306000.0,274500.0,178.0,227.0,25.923415791257202,29.656439066551425
213,2009,DELACOMBE,260000.0,,135.0,182.0,27.472527472527474,
214,2009,DELAHEY,310000.0,273000.0,,,,
215,2009,DENNINGTON,280000.0,,,,,
216,2009,DERRIMUT,367000.0,,,,,
217,2009,DERRINALLUM,143000.0,,,,,
218,2009,DIAMOND CREEK,441000.0,380000.0,,,,
219,2009,DIGGERS REST,240000.0,,,,,
220,2009,DIMBOOLA,90000.0,,,,,
221,2009,DINGLEY VILLAGE,469500.0,395000.0,,,,
222,2009,DINNER PLAIN,455000.0,,,,,
223,2009,DONALD,92500.0,,,,,
224,2009,DONCASTER,689000.0,470000.0,234.0,315.0,42.06349206349206,38.62590401051939
225,2009,DONCASTER EAST,630000.0,502000.0,259.0,310.0,39.0818858560794,37.27353727353727
226,2009,DONVALE,601000.0,445000.0,259.0,310.0,37.28287841191067,33.04128304128304
227,2009,DOREEN,375000.0,165000.0,,,,
228,2009,DOVETON,268500.0,293000.0,,,,
229,2009,DROMANA,385000.0,358500.0,167.0,215.0,34.43649373881932,41.282818977429756
230,2009,DROUIN,243000.0,206500.0,,,,
231,2009,DRYSDALE,306000.0,255000.0,,,,
232,2009,DUNKELD,210000.0,,,,,
233,2009,DUNOLLY,132500.0,,,,,
234,2009,EAGLE POINT,237000.0,,,,,
235,2009,EAGLEHAWK,215000.0,183500.0,,,,
236,2009,EAGLEMONT,1455000.0,634500.0,,,,
237,2009,EAST BAIRNSDALE,195000.0,,,,,
238,2009,EAST BENDIGO,225500.0,228000.0,127.0,207.0,20.949461166852473,34.52453058752271
239,2009,EAST GEELONG,334000.0,209000.0,,,,
240,2009,EAST MELBOURNE,1680000.0,480000.0,325.0,263.0,122.84293653114946,28.402366863905325
241,2009,EAST WARBURTON,250000.0,,,,,
242,2009,EASTWOOD,310000.0,,,,,
243,2009,ECHUCA,255000.0,231000.0,125.0,202.0,24.276466108149275,35.53846153846154
244,2009,EDENHOPE,83000.0,,,,,
245,2009,EDITHVALE,485000.0,399000.0,,,,
246,2009,EILDON,176000.0,,,,,
247,2009,ELLIMINYT,265000.0,,,,,
248,2009,ELMORE,162000.0,,,,,
249,2009,ELSTERNWICK,985000.0,470000.0,230.0,415.0,45.64411492122336,39.297658862876254
